TRIP
DATE 2006-08-12 
DECLINATION     0.00
DATA
-18.232	5.364	-18.670	4.947
-15.629	5.086	-17.052	6.274
-17.052	6.274	-17.077	5.892
-17.052	6.274	-17.293	6.185
-17.052	6.274	-17.315	6.076
-17.052	6.274	-17.574	6.203
-17.052	6.274	-17.261	5.881
-17.052	6.274	-17.950	5.765
-15.406	3.611	-15.629	5.086
-15.629	5.086	-15.436	5.350
-15.629	5.086	-16.096	5.825
-15.629	5.086	-15.568	5.482
-15.629	5.086	-15.658	5.307
-15.629	5.086	-16.514	5.957
-15.629	5.086	-16.642	6.063
-13.913	6.221	-15.406	3.611
-15.406	3.611	-14.909	4.381
-15.406	3.611	-14.315	4.623
-15.406	3.611	-15.355	5.190
-15.406	3.611	-15.230	4.681
-15.406	3.611	-15.662	5.025
-15.406	3.611	-15.718	4.851
-15.406	3.611	-15.775	4.436
-15.406	3.611	-16.047	3.956
-15.406	3.611	-14.923	3.614
-15.406	3.611	-14.428	4.092
-15.406	3.611	-14.960	3.802
-15.406	3.611	-15.103	3.901
-15.406	3.611	-15.351	3.791
-15.406	3.611	-14.704	4.258
-15.406	3.611	-16.262	3.670
-11.515	6.512	-13.913	6.221
-13.913	6.221	-13.772	5.853
-13.913	6.221	-14.054	5.513
-13.913	6.221	-14.598	5.840
-13.913	6.221	-14.739	6.542
-13.913	6.221	-13.894	6.537
-13.913	6.221	-14.540	6.972
-13.913	6.221	-14.934	6.811
-13.913	6.221	-14.041	5.367
-13.913	6.221	-13.684	5.314
-13.913	6.221	-14.328	6.569
-13.913	6.221	-13.623	6.067
-13.913	6.221	-13.337	5.912
-13.913	6.221	-14.308	6.230
-11.380	5.953	-11.515	6.512
-11.502	5.101	-11.380	5.953
-11.380	5.953	-11.160	5.896
-11.380	5.953	-11.075	6.439
-11.380	5.953	-11.482	7.398
-11.380	5.953	-11.909	7.036
-11.380	5.953	-12.103	7.038
-11.380	5.953	-13.213	7.239
-11.380	5.953	-13.926	6.791
-11.380	5.953	-12.456	6.376
-11.380	5.953	-13.121	6.903
-11.380	5.953	-12.217	4.856
-11.380	5.953	-12.878	4.984
-11.380	5.953	-13.468	5.663
-11.380	5.953	-11.434	5.099
-11.380	5.953	-12.606	5.428
-11.380	5.953	-13.399	5.828
-11.380	5.953	-12.817	6.369
-11.162	5.047	-11.502	5.101
-11.502	5.101	-11.381	5.938
-11.502	5.101	-10.991	5.454
-11.502	5.101	-11.519	5.602
-11.502	5.101	-10.843	6.516
-11.502	5.101	-10.237	6.818
-10.195	4.640	-11.162	5.047
-11.162	5.047	-12.011	3.892
-11.162	5.047	-11.610	5.194
-11.162	5.047	-11.300	5.534
-10.256	3.261	-10.195	4.640
-10.195	4.640	-9.970	4.604
-10.195	4.640	-10.506	4.224
-10.195	4.640	-10.063	4.001
-10.195	4.640	-10.155	4.417
POLYLINE GREEN
-11.130	-9.270
-10.950	-9.170
-10.920	-9.170
POLYLINE GREEN
-11.260	-9.130
-11.190	-9.060
-11.130	-9.060
-11.090	-9.080
-11.060	-9.130
-11.020	-9.310
-11.020	-9.350
-11.010	-9.420
-11.020	-9.450
POLYLINE GREEN
-11.080	-4.670
-11.120	-4.460
-11.120	-4.330
-11.130	-4.270
POLYLINE GREEN
-13.380	-1.850
-13.390	-1.960
-13.350	-2.120
-13.300	-2.260
-13.290	-2.300
-13.280	-2.340
-13.270	-2.380
-13.210	-2.580
-13.200	-2.620
-13.180	-2.710
-13.170	-2.800
-13.120	-2.920
-13.110	-2.960
-13.090	-3.000
-13.090	-3.030
-13.050	-3.170
-13.010	-3.260
-12.980	-3.290
-12.950	-3.350
-12.930	-3.440
-12.910	-3.480
POLYLINE GREEN
-12.490	-3.280
-12.490	-3.260
-12.450	-3.390
-12.450	-3.420
POLYLINE GREEN
-12.700	-2.010
-12.700	-1.990
-12.790	-2.090
-12.810	-2.170
-12.810	-2.340
-12.800	-2.450
-12.770	-2.490
-12.700	-2.750
-12.670	-2.790
-12.660	-2.850
-12.570	-3.080
-12.520	-3.180
-12.470	-3.240
-12.460	-3.260
POLYLINE GREEN
-10.450	-3.740
-10.200	-3.920
-10.180	-3.930
POLYLINE GREEN
-10.230	-3.720
-10.190	-3.740
-10.050	-3.880
POLYLINE GREEN
-11.410	-2.510
